frequency_GHz,TE_reflection_real,TE_reflection_imag,TE_reflection_dB,TM_reflection_real,TM_reflection_imag,TM_reflection_dB
10.616000,-0.025814096,-0.13385896,-17.308471,-0.029568234,-0.13679816,-17.080095
10.620000,-0.027152888,-0.13420834,-17.270182,-0.030943335,-0.13712722,-17.041831
10.624000,-0.028500356,-0.13454781,-17.231849,-0.032327065,-0.13744594,-17.003527
10.628000,-0.029856453,-0.13487724,-17.19347,-0.033719371,-0.13775419,-16.965186
10.632000,-0.031221131,-0.1351965,-17.155049,-0.035120201,-0.13805182,-16.926808
10.636000,-0.032594339,-0.13550544,-17.116587,-0.036529498,-0.13833871,-16.888397
10.640000,-0.033976026,-0.13580395,-17.078086,-0.037947205,-0.13861471,-16.849952
10.644000,-0.035366135,-0.13609188,-17.039546,-0.039373262,-0.1388797,-16.811476
10.648000,-0.036764612,-0.13636909,-17.00097,-0.040807607,-0.13913352,-16.772971
10.652000,-0.038171396,-0.13663546,-16.96236,-0.042250175,-0.13937604,-16.734438
10.656000,-0.039586428,-0.13689084,-16.923716,-0.0437009,-0.13960713,-16.695879
10.660000,-0.041009643,-0.13713509,-16.885042,-0.045159712,-0.13982664,-16.657295
10.664000,-0.042440977,-0.13736809,-16.846337,-0.046626541,-0.14003444,-16.618688
10.668000,-0.043880362,-0.13758968,-16.807605,-0.048101312,-0.14023038,-16.58006
10.672000,-0.045327726,-0.13779974,-16.768847,-0.049583949,-0.14041433,-16.541412
10.676000,-0.046782999,-0.13799813,-16.730064,-0.051074375,-0.14058614,-16.502747
10.680000,-0.048246105,-0.13818469,-16.691259,-0.052572506,-0.14074567,-16.464066
10.684000,-0.049716967,-0.1383593,-16.652433,-0.05407826,-0.14089278,-16.425371
10.688000,-0.051195505,-0.13852182,-16.613588,-0.055591551,-0.14102734,-16.386664
10.692000,-0.052681636,-0.1386721,-16.574726,-0.05711229,-0.14114919,-16.347946
10.696000,-0.054175277,-0.13881001,-16.535848,-0.058640385,-0.1412582,-16.30922
10.700000,-0.055676339,-0.13893541,-16.496957,-0.060175743,-0.14135423,-16.270487
10.704000,-0.057184734,-0.13904814,-16.458055,-0.061718266,-0.14143713,-16.231748
10.708000,-0.058700367,-0.13914809,-16.419143,-0.063267856,-0.14150676,-16.193007
10.712000,-0.060223145,-0.13923509,-16.380223,-0.064824409,-0.14156299,-16.154265
10.716000,-0.061752969,-0.13930902,-16.341297,-0.066387822,-0.14160567,-16.115523
10.720000,-0.063289739,-0.13936974,-16.302367,-0.067957986,-0.14163466,-16.076783
10.724000,-0.064833351,-0.13941709,-16.263435,-0.069534792,-0.14164982,-16.038049
10.728000,-0.0663837,-0.13945096,-16.224503,-0.071118124,-0.141651,-15.99932
10.732000,-0.067940676,-0.13947118,-16.185574,-0.072707869,-0.14163808,-15.960601
10.736000,-0.069504169,-0.13947764,-16.146647,-0.074303905,-0.14161091,-15.921891
10.740000,-0.071074063,-0.13947017,-16.107727,-0.075906112,-0.14156935,-15.883194
10.744000,-0.072650241,-0.13944866,-16.068815,-0.077514364,-0.14151326,-15.844511
10.748000,-0.074232584,-0.13941296,-16.029913,-0.079128534,-0.1414425,-15.805845
10.752000,-0.075820967,-0.13936293,-15.991022,-0.080748491,-0.14135695,-15.767196
10.756000,-0.077415266,-0.13929844,-15.952145,-0.0823741,-0.14125645,-15.728568
10.760000,-0.079015351,-0.13921934,-15.913285,-0.084005226,-0.14114088,-15.689963
10.764000,-0.08062109,-0.13912551,-15.874442,-0.085641728,-0.1410101,-15.651381
10.768000,-0.082232349,-0.13901681,-15.83562,-0.087283463,-0.14086398,-15.612826
10.772000,-0.083848989,-0.13889311,-15.796819,-0.088930285,-0.14070238,-15.5743
10.776000,-0.08547087,-0.13875427,-15.758043,-0.090582047,-0.14052518,-15.535804
10.780000,-0.087097849,-0.13860016,-15.719294,-0.092238594,-0.14033223,-15.49734
10.784000,-0.088729777,-0.13843066,-15.680572,-0.093899773,-0.14012342,-15.458912
10.788000,-0.090366506,-0.13824562,-15.641882,-0.095565426,-0.13989862,-15.420519
10.792000,-0.092007882,-0.13804493,-15.603223,-0.09723539,-0.13965769,-15.382166
10.796000,-0.09365375,-0.13782845,-15.5646,-0.098909501,-0.13940051,-15.343853
10.800000,-0.09530395,-0.13759606,-15.526013,-0.10058759,-0.13912697,-15.305583
10.804000,-0.09695832,-0.13734764,-15.487466,-0.10226949,-0.13883692,-15.267358
10.808000,-0.098616695,-0.13708306,-15.448959,-0.10395503,-0.13853027,-15.229181
10.812000,-0.10027891,-0.13680219,-15.410496,-0.10564403,-0.13820688,-15.191052
10.816000,-0.10194479,-0.13650493,-15.372078,-0.1073363,-0.13786664,-15.152975
10.820000,-0.10361415,-0.13619115,-15.333708,-0.10903167,-0.13750943,-15.114951
10.824000,-0.10528684,-0.13586073,-15.295387,-0.11072996,-0.13713514,-15.076983
10.828000,-0.10696265,-0.13551357,-15.257118,-0.11243096,-0.13674366,-15.039072
10.832000,-0.10864142,-0.13514954,-15.218903,-0.11413449,-0.13633488,-15.001222
10.836000,-0.11032295,-0.13476854,-15.180744,-0.11584036,-0.1359087,-14.963433
10.840000,-0.11200705,-0.13437046,-15.142644,-0.11754836,-0.135465,-14.925708
10.844000,-0.11369354,-0.13395519,-15.104604,-0.1192583,-0.13500369,-14.888049
10.848000,-0.11538221,-0.13352263,-15.066626,-0.12096997,-0.13452466,-14.850458
10.852000,-0.11707287,-0.13307268,-15.028713,-0.12268316,-0.13402783,-14.812938
10.856000,-0.11876531,-0.13260523,-14.990867,-0.12439766,-0.13351308,-14.77549
10.860000,-0.12045934,-0.13212019,-14.953091,-0.12611327,-0.13298034,-14.738116
10.864000,-0.12215474,-0.13161746,-14.915385,-0.12782976,-0.1324295,-14.70082
10.868000,-0.1238513,-0.13109696,-14.877753,-0.12954691,-0.13186049,-14.663602
10.872000,-0.12554882,-0.13055859,-14.840196,-0.13126452,-0.13127323,-14.626465
10.876000,-0.12724706,-0.13000226,-14.802717,-0.13298234,-0.13066762,-14.589411
